year,Amanda,Ashley,Betty,Deborah,Dorothy,Helen,Linda,Patricia
518,36827,47585,399,1076,620,857,1844,3606
519,34405,45553,406,1094,596,861,1658,3578
520,28887,43482,345,1014,498,773,1608,3418
521,25034,38452,296,919,508,827,1580,2951
522,20809,34847,292,797,476,868,1487,2660
523,18715,30278,275,740,442,848,1281,2363
524,16345,26603,234,660,376,837,1233,2160
525,13973,23676,217,633,350,900,987,1970
526,12239,20895,189,638,315,812,1095,1781
527,10908,19871,194,553,312,832,970,1704
528,9741,18132,182,524,335,841,898,1532
529,8550,17997,174,545,312,890,849,1392
530,6963,16524,153,489,317,884,837,1223
531,6132,15339,127,474,263,875,769,1113
532,5339,14512,142,421,291,783,739,1011
533,4677,14370,136,427,288,860,727,997
534,4088,13270,132,425,234,960,745,877
535,3355,12340,135,423,265,948,698,775
536,3038,11423,134,371,262,931,659,725
537,2439,9402,137,355,242,884,611,629
538,1952,7811,148,346,226,826,550,564
539,1655,6306,132,354,240,703,476,479
540,1409,5398,167,332,276,729,488,427
541,1228,4696,140,336,277,772,448,394
542,1064,3936,174,329,334,738,441,419
543,1048,3547,193,369,382,801,470,377
544,1013,3409,186,346,395,757,423,346
545,241,0,117,12,112,636,27,0
546,263,0,112,14,109,612,38,0
547,288,0,123,15,115,838,36,0
548,287,0,120,16,141,862,49,0
549,337,0,144,13,163,986,33,6
550,339,0,155,10,196,1134,60,5
551,370,0,167,10,230,1267,49,8
552,338,0,178,15,272,1405,50,10
553,404,0,214,26,373,1847,77,12
554,413,0,189,12,377,1909,74,17
555,392,0,216,24,458,2312,54,11
556,371,0,239,15,566,2417,78,12
557,455,0,255,16,626,2936,83,21
558,387,0,298,24,821,3249,82,28
559,418,0,298,18,1052,3676,94,36
560,431,0,350,13,1127,4023,96,35
561,367,0,342,18,1366,4392,104,37
562,354,0,367,23,1472,4519,81,49
563,371,0,421,21,1671,5230,102,47
564,326,0,410,11,1687,5048,98,56
565,377,0,664,26,2491,6343,126,89
566,317,0,474,21,2173,5247,86,68
567,301,0,580,21,2707,5967,91,85
568,247,0,596,21,3078,6129,90,79
569,294,0,707,23,3477,6488,101,124
570,311,0,807,18,3937,6811,106,121
571,260,0,865,25,4326,7176,98,157
572,285,0,1018,21,4967,7579,102,177
573,260,0,1128,25,5703,8439,93,205
574,271,0,1082,26,6253,9250,105,233
575,278,0,1389,33,7318,10479,137,316
576,280,0,1456,36,8869,11802,130,325
577,310,0,2011,32,12645,16133,189,504
578,346,0,2239,42,14674,18889,238,588
579,375,0,2933,62,18782,23221,219,656
580,412,0,4182,106,25154,30866,290,895
581,421,0,5136,90,27415,32661,297,1078
582,445,5,6639,89,28853,34249,291,1441
583,397,0,8802,92,32034,36150,322,1760
584,379,0,10107,70,31734,33705,282,2144
585,379,0,14017,82,36645,35098,349,2502
586,392,0,17637,94,39083,34819,367,3382
587,341,0,20893,71,37711,32507,365,3902
588,362,0,25990,118,39045,31492,423,4800
589,341,0,30602,125,39996,31193,454,6958
590,310,0,32817,82,38572,29168,438,8095
591,310,0,32959,116,36614,26884,479,8590
592,234,0,35422,91,35987,25316,516,10553
593,247,0,36078,130,33728,22936,554,12332
594,209,0,36669,161,31477,20983,509,13626
595,196,0,38239,165,30404,19914,493,15749
596,209,0,36102,158,26521,17657,534,16468
597,213,0,34411,208,24968,16375,774,17991
598,199,0,31526,243,22050,14645,786,18625
599,189,0,31078,280,21280,14099,1001,20847
600,211,0,28673,279,19400,12778,1197,22876
601,192,0,25863,299,17668,12232,2439,23912
602,176,0,25328,323,16571,11452,4380,26837
603,192,7,25502,410,16348,10833,7047,27555
604,185,0,23639,443,15170,10417,10714,29704
605,218,0,22074,469,14874,10201,18368,32661
606,223,6,20900,608,14561,9889,23715,36901
607,295,8,21654,676,15032,10013,31611,39454
608,284,10,21595,788,14785,9799,38437,39620
609,238,12,19757,1293,13378,8693,38411,36872
610,280,10,18383,1464,12328,8300,41464,35840
611,274,7,19714,2470,12796,8852,52708,46295
612,310,11,18962,5838,12751,8978,99680,51274
613,306,13,16622,11246,11326,8305,96211,46135
614,333,11,14946,19208,10406,7709,91010,46337
615,379,15,13614,29073,9555,7060,80439,47952
616,409,15,12820,42045,9082,6945,73947,56433
617,418,24,12125,49809,8608,6470,67092,53090
618,428,15,11367,52196,8154,6120,61264,51007
619,428,21,10615,54674,7791,5940,55371,49133
620,452,8,9928,52314,7241,5596,51279,46210
621,643,25,9213,47829,6862,5279,48067,43332
622,667,27,8474,40065,6401,5015,44495,39277
623,796,38,7709,32936,5539,4763,41898,37932
624,858,37,7317,29552,5238,4378,40409,35221
625,977,57,6503,25269,5077,4069,37314,32107
626,1057,80,5580,24092,4726,3855,35574,28867
627,948,95,4765,22893,4075,3587,31462,26538
628,1035,108,4154,21062,3791,3340,27715,25363
629,1275,180,4067,19306,3535,3095,23633,26087
630,1650,218,3565,17083,2960,2804,19339,23551
631,2329,263,2948,16250,2667,2449,15560,20115
632,2663,386,2543,14007,2316,2153,13199,17746
633,2430,544,2134,12286,2084,1881,11368,15806
634,2817,643,2133,11186,1778,1857,10248,14957
635,3550,932,1967,9853,1802,1715,8734,13404
636,4133,1164,1763,8675,1626,1441,7379,11466
637,4181,1176,1366,6279,1277,1245,5746,9602
638,5627,1253,1323,4984,1175,1133,4735,8477
639,7476,1626,1130,4345,1100,1140,4085,8040
640,12653,1988,1021,3415,975,1057,3525,7056
641,15591,2292,908,2994,983,942,3141,6017
642,18280,2706,807,2677,934,992,2909,5907
643,20522,3484,715,2479,913,922,2936,5498
644,31927,4450,711,2181,889,879,2739,5651
645,35819,7296,658,1938,895,909,2805,5309
646,34373,8877,662,1905,787,896,2730,5285
647,34210,14851,635,1842,828,875,2787,5167
648,33754,33290,563,1605,759,844,2473,4922
649,33906,38759,503,1468,682,859,2334,4475
650,39050,47007,502,1401,719,809,2113,4398
651,40522,49674,407,1284,629,766,1951,4246
652,41786,54845,435,1203,614,815,1929,3913
653,39451,49963,395,1056,608,775,1844,3798
654,36827,47585,399,1076,620,857,1844,3606
655,34405,45553,406,1094,596,861,1658,3578
656,28887,43482,345,1014,498,773,1608,3418
657,25034,38452,296,919,508,827,1580,2951
658,20809,34847,292,797,476,868,1487,2660
659,18715,30278,275,740,442,848,1281,2363
660,16345,26603,234,660,376,837,1233,2160
661,13973,23676,217,633,350,900,987,1970
662,12239,20895,189,638,315,812,1095,1781
663,10908,19871,194,553,312,832,970,1704
664,9741,18132,182,524,335,841,898,1532
665,8550,17997,174,545,312,890,849,1392
666,6963,16524,153,489,317,884,837,1223
667,6132,15339,127,474,263,875,769,1113
668,5339,14512,142,421,291,783,739,1011
669,4677,14370,136,427,288,860,727,997
670,4088,13270,132,425,234,960,745,877
671,3355,12340,135,423,265,948,698,775
672,3038,11423,134,371,262,931,659,725
673,2439,9402,137,355,242,884,611,629
674,1952,7811,148,346,226,826,550,564
675,1655,6306,132,354,240,703,476,479
676,1409,5398,167,332,276,729,488,427
677,1228,4696,140,336,277,772,448,394
678,1064,3936,174,329,334,738,441,419
679,1048,3547,193,369,382,801,470,377
680,1013,3409,186,346,395,757,423,346
681,241,0,117,12,112,636,27,0
682,263,0,112,14,109,612,38,0
683,288,0,123,15,115,838,36,0
684,287,0,120,16,141,862,49,0
685,337,0,144,13,163,986,33,6
686,339,0,155,10,196,1134,60,5
687,370,0,167,10,230,1267,49,8
688,338,0,178,15,272,1405,50,10
689,404,0,214,26,373,1847,77,12
690,413,0,189,12,377,1909,74,17
691,392,0,216,24,458,2312,54,11
692,371,0,239,15,566,2417,78,12
693,455,0,255,16,626,2936,83,21
694,387,0,298,24,821,3249,82,28
695,418,0,298,18,1052,3676,94,36
696,431,0,350,13,1127,4023,96,35
697,367,0,342,18,1366,4392,104,37
698,354,0,367,23,1472,4519,81,49
699,371,0,421,21,1671,5230,102,47
700,326,0,410,11,1687,5048,98,56
701,377,0,664,26,2491,6343,126,89
702,317,0,474,21,2173,5247,86,68
703,301,0,580,21,2707,5967,91,85
704,247,0,596,21,3078,6129,90,79
705,294,0,707,23,3477,6488,101,124
706,311,0,807,18,3937,6811,106,121
707,260,0,865,25,4326,7176,98,157
708,285,0,1018,21,4967,7579,102,177
709,260,0,1128,25,5703,8439,93,205
710,271,0,1082,26,6253,9250,105,233
711,278,0,1389,33,7318,10479,137,316
712,280,0,1456,36,8869,11802,130,325
713,310,0,2011,32,12645,16133,189,504
714,346,0,2239,42,14674,18889,238,588
715,375,0,2933,62,18782,23221,219,656
716,412,0,4182,106,25154,30866,290,895
717,421,0,5136,90,27415,32661,297,1078
718,445,5,6639,89,28853,34249,291,1441
719,397,0,8802,92,32034,36150,322,1760
720,379,0,10107,70,31734,33705,282,2144
721,379,0,14017,82,36645,35098,349,2502
722,392,0,17637,94,39083,34819,367,3382
723,341,0,20893,71,37711,32507,365,3902
724,362,0,25990,118,39045,31492,423,4800
725,341,0,30602,125,39996,31193,454,6958
726,310,0,32817,82,38572,29168,438,8095
727,310,0,32959,116,36614,26884,479,8590
728,234,0,35422,91,35987,25316,516,10553
729,247,0,36078,130,33728,22936,554,12332
730,209,0,36669,161,31477,20983,509,13626
731,196,0,38239,165,30404,19914,493,15749
732,209,0,36102,158,26521,17657,534,16468
733,213,0,34411,208,24968,16375,774,17991
734,199,0,31526,243,22050,14645,786,18625
735,189,0,31078,280,21280,14099,1001,20847
736,211,0,28673,279,19400,12778,1197,22876
737,192,0,25863,299,17668,12232,2439,23912
738,176,0,25328,323,16571,11452,4380,26837
739,192,7,25502,410,16348,10833,7047,27555
740,185,0,23639,443,15170,10417,10714,29704
741,218,0,22074,469,14874,10201,18368,32661
742,223,6,20900,608,14561,9889,23715,36901
743,295,8,21654,676,15032,10013,31611,39454
744,284,10,21595,788,14785,9799,38437,39620
745,238,12,19757,1293,13378,8693,38411,36872
746,280,10,18383,1464,12328,8300,41464,35840
747,274,7,19714,2470,12796,8852,52708,46295
748,310,11,18962,5838,12751,8978,99680,51274
749,306,13,16622,11246,11326,8305,96211,46135
750,333,11,14946,19208,10406,7709,91010,46337
751,379,15,13614,29073,9555,7060,80439,47952
752,409,15,12820,42045,9082,6945,73947,56433
753,418,24,12125,49809,8608,6470,67092,53090
754,428,15,11367,52196,8154,6120,61264,51007
755,428,21,10615,54674,7791,5940,55371,49133
756,452,8,9928,52314,7241,5596,51279,46210
757,643,25,9213,47829,6862,5279,48067,43332
758,667,27,8474,40065,6401,5015,44495,39277
759,796,38,7709,32936,5539,4763,41898,37932
760,858,37,7317,29552,5238,4378,40409,35221
761,977,57,6503,25269,5077,4069,37314,32107
762,1057,80,5580,24092,4726,3855,35574,28867
763,948,95,4765,22893,4075,3587,31462,26538
764,1035,108,4154,21062,3791,3340,27715,25363
765,1275,180,4067,19306,3535,3095,23633,26087
766,1650,218,3565,17083,2960,2804,19339,23551
767,2329,263,2948,16250,2667,2449,15560,20115
768,2663,386,2543,14007,2316,2153,13199,17746
769,2430,544,2134,12286,2084,1881,11368,15806
770,2817,643,2133,11186,1778,1857,10248,14957
771,3550,932,1967,9853,1802,1715,8734,13404
772,4133,1164,1763,8675,1626,1441,7379,11466
773,4181,1176,1366,6279,1277,1245,5746,9602
774,5627,1253,1323,4984,1175,1133,4735,8477
775,7476,1626,1130,4345,1100,1140,4085,8040
776,12653,1988,1021,3415,975,1057,3525,7056
777,15591,2292,908,2994,983,942,3141,6017
778,18280,2706,807,2677,934,992,2909,5907
779,20522,3484,715,2479,913,922,2936,5498
780,31927,4450,711,2181,889,879,2739,5651
781,35819,7296,658,1938,895,909,2805,5309
782,34373,8877,662,1905,787,896,2730,5285
783,34210,14851,635,1842,828,875,2787,5167
784,33754,33290,563,1605,759,844,2473,4922
785,33906,38759,503,1468,682,859,2334,4475
786,39050,47007,502,1401,719,809,2113,4398
787,40522,49674,407,1284,629,766,1951,4246
788,41786,54845,435,1203,614,815,1929,3913
789,39451,49963,395,1056,608,775,1844,3798
790,36827,47585,399,1076,620,857,1844,3606
791,34405,45553,406,1094,596,861,1658,3578
792,28887,43482,345,1014,498,773,1608,3418
793,25034,38452,296,919,508,827,1580,2951
794,20809,34847,292,797,476,868,1487,2660
795,18715,30278,275,740,442,848,1281,2363
796,16345,26603,234,660,376,837,1233,2160
797,13973,23676,217,633,350,900,987,1970
798,12239,20895,189,638,315,812,1095,1781
799,10908,19871,194,553,312,832,970,1704
800,9741,18132,182,524,335,841,898,1532
801,8550,17997,174,545,312,890,849,1392
802,6963,16524,153,489,317,884,837,1223
803,6132,15339,127,474,263,875,769,1113
804,5339,14512,142,421,291,783,739,1011
805,4677,14370,136,427,288,860,727,997
806,4088,13270,132,425,234,960,745,877
807,3355,12340,135,423,265,948,698,775
808,3038,11423,134,371,262,931,659,725
809,2439,9402,137,355,242,884,611,629
810,1952,7811,148,346,226,826,550,564
811,1655,6306,132,354,240,703,476,479
812,1409,5398,167,332,276,729,488,427
813,1228,4696,140,336,277,772,448,394
814,1064,3936,174,329,334,738,441,419
815,1048,3547,193,369,382,801,470,377
816,1013,3409,186,346,395,757,423,346
817,241,0,117,12,112,636,27,0
818,263,0,112,14,109,612,38,0
819,288,0,123,15,115,838,36,0
820,287,0,120,16,141,862,49,0
821,337,0,144,13,163,986,33,6
822,339,0,155,10,196,1134,60,5
823,370,0,167,10,230,1267,49,8
824,338,0,178,15,272,1405,50,10
825,404,0,214,26,373,1847,77,12
826,413,0,189,12,377,1909,74,17
827,392,0,216,24,458,2312,54,11
828,371,0,239,15,566,2417,78,12
829,455,0,255,16,626,2936,83,21
830,387,0,298,24,821,3249,82,28
831,418,0,298,18,1052,3676,94,36
832,431,0,350,13,1127,4023,96,35
833,367,0,342,18,1366,4392,104,37
834,354,0,367,23,1472,4519,81,49
835,371,0,421,21,1671,5230,102,47
836,326,0,410,11,1687,5048,98,56
837,377,0,664,26,2491,6343,126,89
838,317,0,474,21,2173,5247,86,68
839,301,0,580,21,2707,5967,91,85
840,247,0,596,21,3078,6129,90,79
841,294,0,707,23,3477,6488,101,124
842,311,0,807,18,3937,6811,106,121
843,260,0,865,25,4326,7176,98,157
844,285,0,1018,21,4967,7579,102,177
845,260,0,1128,25,5703,8439,93,205
846,271,0,1082,26,6253,9250,105,233
847,278,0,1389,33,7318,10479,137,316
848,280,0,1456,36,8869,11802,130,325
849,310,0,2011,32,12645,16133,189,504
850,346,0,2239,42,14674,18889,238,588
851,375,0,2933,62,18782,23221,219,656
852,412,0,4182,106,25154,30866,290,895
853,421,0,5136,90,27415,32661,297,1078
854,445,5,6639,89,28853,34249,291,1441
855,397,0,8802,92,32034,36150,322,1760
856,379,0,10107,70,31734,33705,282,2144
857,379,0,14017,82,36645,35098,349,2502
858,392,0,17637,94,39083,34819,367,3382
859,341,0,20893,71,37711,32507,365,3902
860,362,0,25990,118,39045,31492,423,4800
861,341,0,30602,125,39996,31193,454,6958
862,310,0,32817,82,38572,29168,438,8095
863,310,0,32959,116,36614,26884,479,8590
864,234,0,35422,91,35987,25316,516,10553
865,247,0,36078,130,33728,22936,554,12332
866,209,0,36669,161,31477,20983,509,13626
867,196,0,38239,165,30404,19914,493,15749
868,209,0,36102,158,26521,17657,534,16468
869,213,0,34411,208,24968,16375,774,17991
870,199,0,31526,243,22050,14645,786,18625
871,189,0,31078,280,21280,14099,1001,20847
872,211,0,28673,279,19400,12778,1197,22876
873,192,0,25863,299,17668,12232,2439,23912
874,176,0,25328,323,16571,11452,4380,26837
875,192,7,25502,410,16348,10833,7047,27555
876,185,0,23639,443,15170,10417,10714,29704
877,218,0,22074,469,14874,10201,18368,32661
878,223,6,20900,608,14561,9889,23715,36901
879,295,8,21654,676,15032,10013,31611,39454
880,284,10,21595,788,14785,9799,38437,39620
881,238,12,19757,1293,13378,8693,38411,36872
882,280,10,18383,1464,12328,8300,41464,35840
883,274,7,19714,2470,12796,8852,52708,46295
884,310,11,18962,5838,12751,8978,99680,51274
885,306,13,16622,11246,11326,8305,96211,46135
886,333,11,14946,19208,10406,7709,91010,46337
887,379,15,13614,29073,9555,7060,80439,47952
888,409,15,12820,42045,9082,6945,73947,56433
889,418,24,12125,49809,8608,6470,67092,53090
890,428,15,11367,52196,8154,6120,61264,51007
891,428,21,10615,54674,7791,5940,55371,49133
892,452,8,9928,52314,7241,5596,51279,46210
893,643,25,9213,47829,6862,5279,48067,43332
894,667,27,8474,40065,6401,5015,44495,39277
895,796,38,7709,32936,5539,4763,41898,37932
896,858,37,7317,29552,5238,4378,40409,35221
897,977,57,6503,25269,5077,4069,37314,32107
898,1057,80,5580,24092,4726,3855,35574,28867
899,948,95,4765,22893,4075,3587,31462,26538
900,1035,108,4154,21062,3791,3340,27715,25363
901,1275,180,4067,19306,3535,3095,23633,26087
902,1650,218,3565,17083,2960,2804,19339,23551
903,2329,263,2948,16250,2667,2449,15560,20115
904,2663,386,2543,14007,2316,2153,13199,17746
905,2430,544,2134,12286,2084,1881,11368,15806
906,2817,643,2133,11186,1778,1857,10248,14957
907,3550,932,1967,9853,1802,1715,8734,13404
908,4133,1164,1763,8675,1626,1441,7379,11466
909,4181,1176,1366,6279,1277,1245,5746,9602
910,5627,1253,1323,4984,1175,1133,4735,8477
911,7476,1626,1130,4345,1100,1140,4085,8040
912,12653,1988,1021,3415,975,1057,3525,7056
913,15591,2292,908,2994,983,942,3141,6017
914,18280,2706,807,2677,934,992,2909,5907
915,20522,3484,715,2479,913,922,2936,5498
916,31927,4450,711,2181,889,879,2739,5651
917,35819,7296,658,1938,895,909,2805,5309
918,34373,8877,662,1905,787,896,2730,5285
919,34210,14851,635,1842,828,875,2787,5167
920,33754,33290,563,1605,759,844,2473,4922
921,33906,38759,503,1468,682,859,2334,4475
922,39050,47007,502,1401,719,809,2113,4398
923,40522,49674,407,1284,629,766,1951,4246
924,41786,54845,435,1203,614,815,1929,3913
925,39451,49963,395,1056,608,775,1844,3798
926,36827,47585,399,1076,620,857,1844,3606
927,34405,45553,406,1094,596,861,1658,3578
928,28887,43482,345,1014,498,773,1608,3418
929,25034,38452,296,919,508,827,1580,2951
930,20809,34847,292,797,476,868,1487,2660
931,18715,30278,275,740,442,848,1281,2363
932,16345,26603,234,660,376,837,1233,2160
933,13973,23676,217,633,350,900,987,1970
934,12239,20895,189,638,315,812,1095,1781
935,10908,19871,194,553,312,832,970,1704
936,9741,18132,182,524,335,841,898,1532
937,8550,17997,174,545,312,890,849,1392
938,6963,16524,153,489,317,884,837,1223
939,6132,15339,127,474,263,875,769,1113
940,5339,14512,142,421,291,783,739,1011
941,4677,14370,136,427,288,860,727,997
942,4088,13270,132,425,234,960,745,877
943,3355,12340,135,423,265,948,698,775
944,3038,11423,134,371,262,931,659,725
945,2439,9402,137,355,242,884,611,629
946,1952,7811,148,346,226,826,550,564
947,1655,6306,132,354,240,703,476,479
948,1409,5398,167,332,276,729,488,427
949,1228,4696,140,336,277,772,448,394
950,1064,3936,174,329,334,738,441,419
951,1048,3547,193,369,382,801,470,377
952,1013,3409,186,346,395,757,423,346
953,241,0,117,12,112,636,27,0
954,263,0,112,14,109,612,38,0
955,288,0,123,15,115,838,36,0
956,287,0,120,16,141,862,49,0
957,337,0,144,13,163,986,33,6
958,339,0,155,10,196,1134,60,5
959,370,0,167,10,230,1267,49,8
960,338,0,178,15,272,1405,50,10
961,404,0,214,26,373,1847,77,12
962,413,0,189,12,377,1909,74,17
963,392,0,216,24,458,2312,54,11
964,371,0,239,15,566,2417,78,12
965,455,0,255,16,626,2936,83,21
966,387,0,298,24,821,3249,82,28
967,418,0,298,18,1052,3676,94,36
968,431,0,350,13,1127,4023,96,35
969,367,0,342,18,1366,4392,104,37
970,354,0,367,23,1472,4519,81,49
971,371,0,421,21,1671,5230,102,47
972,326,0,410,11,1687,5048,98,56
973,377,0,664,26,2491,6343,126,89
974,317,0,474,21,2173,5247,86,68
975,301,0,580,21,2707,5967,91,85
976,247,0,596,21,3078,6129,90,79
977,294,0,707,23,3477,6488,101,124
978,311,0,807,18,3937,6811,106,121
979,260,0,865,25,4326,7176,98,157
980,285,0,1018,21,4967,7579,102,177
981,260,0,1128,25,5703,8439,93,205
982,271,0,1082,26,6253,9250,105,233
983,278,0,1389,33,7318,10479,137,316
984,280,0,1456,36,8869,11802,130,325
985,310,0,2011,32,12645,16133,189,504
986,346,0,2239,42,14674,18889,238,588
987,375,0,2933,62,18782,23221,219,656
988,412,0,4182,106,25154,30866,290,895
989,421,0,5136,90,27415,32661,297,1078
990,445,5,6639,89,28853,34249,291,1441
991,397,0,8802,92,32034,36150,322,1760
992,379,0,10107,70,31734,33705,282,2144
993,379,0,14017,82,36645,35098,349,2502
994,392,0,17637,94,39083,34819,367,3382
995,341,0,20893,71,37711,32507,365,3902
996,362,0,25990,118,39045,31492,423,4800
997,341,0,30602,125,39996,31193,454,6958
998,310,0,32817,82,38572,29168,438,8095
999,310,0,32959,116,36614,26884,479,8590
1000,234,0,35422,91,35987,25316,516,10553
1001,247,0,36078,130,33728,22936,554,12332
1002,209,0,36669,161,31477,20983,509,13626
1003,196,0,38239,165,30404,19914,493,15749
1004,209,0,36102,158,26521,17657,534,16468
1005,213,0,34411,208,24968,16375,774,17991
1006,199,0,31526,243,22050,14645,786,18625
1007,189,0,31078,280,21280,14099,1001,20847
1008,211,0,28673,279,19400,12778,1197,22876
1009,192,0,25863,299,17668,12232,2439,23912
1010,176,0,25328,323,16571,11452,4380,26837
1011,192,7,25502,410,16348,10833,7047,27555
1012,185,0,23639,443,15170,10417,10714,29704
1013,218,0,22074,469,14874,10201,18368,32661
1014,223,6,20900,608,14561,9889,23715,36901
1015,295,8,21654,676,15032,10013,31611,39454
1016,284,10,21595,788,14785,9799,38437,39620
1017,238,12,19757,1293,13378,8693,38411,36872
1018,280,10,18383,1464,12328,8300,41464,35840
1019,274,7,19714,2470,12796,8852,52708,46295
1020,310,11,18962,5838,12751,8978,99680,51274
1021,306,13,16622,11246,11326,8305,96211,46135
1022,333,11,14946,19208,10406,7709,91010,46337
1023,379,15,13614,29073,9555,7060,80439,47952
1024,409,15,12820,42045,9082,6945,73947,56433
1025,418,24,12125,49809,8608,6470,67092,53090
1026,428,15,11367,52196,8154,6120,61264,51007
1027,428,21,10615,54674,7791,5940,55371,49133
1028,452,8,9928,52314,7241,5596,51279,46210
1029,643,25,9213,47829,6862,5279,48067,43332
1030,667,27,8474,40065,6401,5015,44495,39277
1031,796,38,7709,32936,5539,4763,41898,37932
1032,858,37,7317,29552,5238,4378,40409,35221
1033,977,57,6503,25269,5077,4069,37314,32107
1034,1057,80,5580,24092,4726,3855,35574,28867
